DateTime,Entries,UniqueIPs
1447571942,24722,27424
1447573083,24687,27381
1447574083,24670,27365
1447575003,24641,27335
1447576059,24624,27328
1447577259,24596,27285
1447578025,24599,27289
1447578576,24609,27308
1447579660,24597,27293
1447580191,24592,27286
1447580757,24605,27296
1447582207,24495,27130
1447583269,24511,27139
1447584373,24516,27145
1447585778,24484,27105
1447586305,24485,27105
1447586852,24470,27090
1447587948,24459,27078
1447588450,24461,27080
1447588862,24465,27073
1447589926,24607,27225
1447590448,24613,27232
1447590996,24581,27182
1447592062,24628,27243
1447592439,24630,27245
1447592990,24668,27281
1447594043,24704,27310
1447594589,24699,27305
1447595134,24717,27308
1447596031,24718,27309
1447596595,24745,27326
1447597700,24694,27253
1447598751,24587,27077
1447602524,24699,27134
1447603778,24825,27288
1447604315,24826,27290
1447604902,24816,27235
1447605930,24803,27197
1447607505,24669,27035
1447608477,24604,26989
1447609565,24600,26956
1447610974,24644,27045
1447611888,24667,27065
1447613134,24663,27058
1447613665,24660,27055
1447614607,24502,26862
1447615704,24533,26901
1447616759,24371,26727
1447617665,24491,26880
1447618809,24479,26866
1447619845,24413,26820
1447620878,24405,26831
1447621815,24383,26822
1447622938,24412,26854
1447624099,24362,26808
1447625393,24442,26927
1447625919,24442,26927
1447626441,24442,26945
1447627528,24438,26946
1447628079,24447,26956
1447628525,24356,26887
1447629523,24465,27028
1447630042,24465,27028
1447630594,24427,27002
1447631661,24456,27039
1447632067,24464,27049
1447632578,24434,27019
1447633650,24433,27038
1447634193,24432,27038
1447634739,24419,27033
1447636226,24283,26871
1447637295,24385,26993
1447638370,24376,26982
1447639794,24235,26857
1447640332,24239,26861
1447640848,24232,26853
1447641962,24194,26810
1447642461,24200,26818
1447643398,24311,26945
1447644481,24364,27010
1447645612,24405,27063
1447646429,24416,27076
1447646981,24492,27175
1447648051,24513,27203
1447648645,24522,27208
1447649159,24574,27260
1447650609,24583,27263
1447651661,24594,27280
1447652773,24574,27262
1447654183,24690,27408
1447654712,24703,27423
1447655243,24719,27440
1447656329,24697,27415
1447656872,24697,27412
1447657824,24754,27481
1447658865,24764,27495
1447659952,24769,27501
1447660900,24753,27490
1447662004,24853,27589
1447663022,24863,27618
1447664079,24866,27622
1447665013,24909,27669
1447666120,24960,27719
1447667158,24981,27750
1447668601,25072,27860
1447669132,25071,27859
1447669659,25087,27881
1447670749,25121,27926
1447671279,25120,27928
1447672247,25062,27849
1447673277,25046,27831
1447674650,25094,27884
1447675252,25090,27879
1447675780,25099,27888
1447676847,25110,27907
1447677411,25105,27902
1447677969,25132,27939
1447679498,25193,27983
1447680458,25203,27992
1447681573,25189,27982
1447682987,25401,28209
1447683814,25405,28215
1447684044,25392,28197
1447685145,25395,28206
1447685669,25400,28212
1447686060,25226,28018
1447687119,25292,28092
1447687646,25310,28111
1447688196,25358,28170
1447689265,25343,28163
1447689983,25343,28163
1447690764,25346,28162
1447692489,25352,28165
1447693784,25428,28252
1447694336,25433,28257
1447694934,25407,28222
1447696528,25464,28284
1447696802,25579,28398
1447697927,25611,28437
1447698475,25610,28437
1447699061,25612,28432
1447700061,25557,28365
1447700433,25561,28372
1447700982,25645,28462
1447702074,25660,28477
1447702594,25662,28478
1447703182,25659,28474
1447704673,25731,28533
1447705659,25730,28533
1447706209,25740,28542
1447706765,25773,28554
1447708188,25837,28612
1447708723,25845,28621
1447709248,25890,28661
1447710349,25935,28718
1447710866,25935,28717
1447711806,25892,28650
1447712875,25926,28679
1447713932,25945,28697
1447714861,25991,28754
1447715961,25818,28538
1447717015,25824,28530
1447718060,25897,28619
1447719016,25799,28504
1447720644,25849,28569
1447721588,25796,28498
1447722604,25885,28599
1447723733,25847,28534
1447724758,25924,28627
1447725626,25934,28637
1447726193,25974,28668
1447727249,25901,28574
1447728163,25972,28653
1447729208,25986,28653
1447730130,25892,28539
1447731395,25940,28584
1447731935,25950,28594
1447732458,25981,28609
1447733376,26020,28660
1447733918,26019,28658
1447734446,26001,28629
1447735570,25935,28525
1447736056,25931,28521
1447737025,25953,28535
1447738071,25951,28536
1447739238,25942,28522
1447740578,26056,28646
1447741114,26042,28631
1447741638,26053,28628
1447742755,25968,28500
1447743329,25962,28494
1447744200,26052,28597
1447745263,26091,28628
1447746363,26053,28569
1447747519,26041,28553
1447748841,26062,28579
1447749392,26073,28592
1447749950,26093,28615
1447751426,26059,28542
1447752443,26135,28624
1447753672,26061,28519
1447754984,26179,28662
1447755525,26184,28668
1447756049,26152,28626
1447757158,26020,28477
1447757702,26010,28466
1447758610,26160,28632
1447759683,26084,28516
1447760752,26221,28675
1447761622,26225,28679
1447762179,26255,28704
1447763261,26137,28547
1447763820,26134,28544
1447764335,26216,28641
1447765800,26199,28622
1447766868,26141,28541
1447767966,26217,28632
1447769387,26068,28475
1447769913,26064,28472
1447770472,25950,28323
1447771539,26027,28407
1447772073,26012,28390
1447773061,25966,28328
1447774065,25931,28280
1447775157,25936,28267
1447777833,25823,28140
1447778750,25895,28223
1447779704,25847,28156
1447780733,25862,28164
1447781893,25803,28082
1447783831,25780,28079
1447784865,25743,28045
1447786031,25774,28078
1447787372,25784,28085
1447787943,25794,28094
1447788446,25770,28071
1447789534,25777,28072
1447790137,25771,28067
1447790998,25781,28079
1447792082,25702,27988
1447793154,25801,28102
1447794079,25770,28069
1447795160,25772,28080
1447796296,25790,28093
1447797274,25772,28068
1447798228,25738,28034
1447799288,25693,28002
1447800418,25727,28039
1447801777,25760,28083
1447802334,25760,28084
1447802845,25744,28066
1447803940,25760,28086
1447804525,25762,28088
1447805397,25794,28128
1447806503,25750,28085
1447807543,25766,28095
1447808454,25776,28099
1447809544,25772,28094
1447810722,25784,28108
1447811683,25774,28081
1447812637,25803,28107
1447813672,25793,28088
1447814834,25857,28163
1447816181,25904,28218
1447816722,25907,28221
1447817251,25916,28211
1447818335,25909,28200
1447818939,25903,28191
1447819794,25902,28187
1447820891,25899,28192
1447821975,25879,28170
1447822870,25889,28180
1447823372,25984,28288
1447823925,25988,28292
1447824446,25974,28290
1447825082,25980,28298
1447825531,25976,28305
1447826133,25978,28307
1447827053,25932,28240
1447827510,25942,28250
1447828059,25927,28228
1447828618,25926,28228
1447829210,25971,28272
1447829672,25971,28272
1447830571,26104,28419
1447831148,26118,28432
1447831644,26107,28419
1447832219,26108,28420
1447832732,26116,28428
1447833338,26120,28432
1447833641,26129,28436
1447834721,26193,28485
1447835268,26201,28494
1447835825,26221,28514
1447836865,26222,28503
1447837239,26228,28505
1447837770,26306,28587
1447838850,26233,28497
1447839480,26233,28498
1447839928,26314,28590
1447841409,26315,28568
1447842471,26274,28527
1447843785,26305,28562
1447844981,26358,28621
1447846050,26311,28572
1447847129,26360,28622
1447848092,26329,28588
1447849121,26337,28588
1447850247,26303,28551
1447851265,26295,28533
1447852506,26307,28548
1447854091,26359,28595
1447854409,26368,28603
1447855141,26308,28545
1447856080,26300,28529
1447857158,26266,28490
1447858223,26234,28455
1447859720,26255,28473
1447860691,26226,28434
1447862480,26164,28357
1447863535,26173,28386
1447864726,26235,28450
1447865694,26224,28446
1447866608,26233,28449
1447867685,26252,28475
1447868827,26205,28410
1447870176,26281,28492
1447870720,26288,28499
1447871268,26224,28420
1447872386,26306,28518
1447872948,26299,28510
1447873793,26252,28435
1447874882,26244,28420
1447875929,26356,28542
1447876892,26399,28584
1447877947,26443,28616
1447879123,26516,28667
1447880149,26481,28619
1447880989,26477,28608
1447881520,26533,28665
1447882623,26544,28675
1447883202,26551,28683
1447883667,26577,28703
1447884586,26554,28689
1447885125,26559,28693
1447885681,26585,28745
1447886752,26598,28756
1447887306,26598,28755
1447887668,26553,28706
1447888772,26581,28716
1447889252,26592,28730
1447889833,26556,28691
1447891400,26612,28747
1447893429,26647,28776
1447894459,26687,28824
1447895463,26669,28797
1447896481,26680,28813
1447897632,26736,28877
1447898979,26822,28957
1447899592,26820,28955
1447900050,26856,29002
1447901166,26851,28997
1447901672,26856,29002
1447902593,26804,28935
1447903736,26778,28907
1447904751,26751,28883
1447905658,26839,28984
1447906732,26959,29113
1447907908,26961,29111
1447908871,26974,29115
1447909823,26978,29112
1447910856,26985,29118
1447912020,26941,29059
1447913385,27063,29198
1447913922,27060,29196
1447914444,27054,29189
1447915542,27033,29176
1447916110,27034,29176
1447916988,26999,29129
1447918076,27019,29157
1447919147,27038,29177
1447920098,27038,29175
1447921129,27042,29176
1447922299,27056,29199
1447923277,27081,29219
1447924222,27085,29220
1447925242,27185,29330
1447926404,27132,29273
1447927798,27157,29310
1447928315,27163,29316
1447928863,27177,29323
1447929966,27179,29310
1447930533,27177,29307
1447931393,27133,29258
1447932460,27079,29201
1447933534,27126,29255
1447934472,27200,29336
1447935532,27189,29315
1447936688,27168,29297
1447937672,27179,29310
1447939170,27123,29258
1447940216,27246,29400
1447941357,27244,29398
1447941602,27201,29358
1447942716,27207,29373
1447943257,27217,29383
1447943795,27198,29361
1447944873,27215,29382
1447945246,27210,29378
1447945790,27318,29497
1447946859,27347,29531
1447947482,27349,29533
1447947931,27286,29474
1447948838,27350,29552
1447949389,27487,29684
1447951161,27407,29589
1447961482,27360,29594
1447962388,27354,29596
1447963251,27363,29605
1447963778,27397,29640
1447964857,27394,29643
1447965515,27331,29580
1447965933,27336,29579
1447966896,27292,29533
