DateTime,AddedIPs,RemovedIPs
1446675397,485,479
1446676518,487,420
1446678115,560,1065
1446679379,446,724
1446680503,535,524
1446681633,685,423
1446682714,361,367
1446683818,480,450
1446684858,514,431
1446685773,268,319
1446686851,601,416
1446687950,453,414
1446689416,548,604
1446690498,441,473
1446691615,514,410
1446692974,482,455
1446694044,464,431
1446695134,458,387
1446696596,570,508
1446697673,463,424
1446698770,388,341
1446700176,657,490
1446701245,364,301
1446702334,495,460
1446703226,19,19
1446703809,515,466
1446704306,19,23
1446704862,408,377
1446705389,20,15
1446706008,416,1049
1446706459,24,17
1446707392,521,493
1446708445,398,379
1446710158,610,649
1446711518,495,493
1446712592,409,1056
1446713659,571,513
1446714586,327,372
1446715646,448,510
1446716737,471,973
1446717710,385,622
1446718748,466,488
1446719814,365,421
1446720877,435,602
1446721779,320,375
1446722846,419,433
1446723930,374,431
1446724835,338,370
1446725945,508,572
1446727009,444,498
1446728064,439,487
1446728993,313,362
1446730048,445,533
1446731133,462,447
1446732627,598,595
1446734270,694,642
1446735285,526,476
1446736198,382,306
1446737272,444,413
1446738364,482,514
1446739818,601,645
1446740878,447,451
1446741956,474,477
1446742853,13,26
1446743392,567,673
1446743914,15,18
1446744469,469,477
1446747114,1016,1318
1446748091,410,657
1446749206,515,537
1446750569,790,497
1446751686,462,521
1446752736,470,554
1446753646,369,421
1446754720,318,454
1446755854,489,538
1446756859,651,440
1446757781,417,381
1446758859,390,428
1446759944,511,441
1446760839,15,18
1446761448,608,573
1446761927,10,12
1446762481,397,387
1446763108,20,42
1446763640,396,419
1446764075,13,27
1446764557,404,329
1446764983,10,4
1446765557,412,296
1446766061,11,22
1446766741,446,455
1446767142,15,35
1446767758,342,548
1446768066,11,12
1446769148,555,563
1446770213,457,472
1446771293,415,470
1446772756,537,566
1446773930,473,444
1446774892,370,358
1446775823,330,343
1446776885,419,416
1446778059,425,465
1446779366,533,561
1446780460,410,434
1446781535,401,470
1446783001,567,514
1446784078,398,447
1446785193,448,458
1446786573,467,551
1446787671,421,422
1446788732,425,420
1446789638,404,375
1446790712,401,414
1446791790,426,389
1446792857,346,357
1446793829,463,488
1446794863,423,379
1446795961,397,439
1446796855,13,12
1446797395,583,605
1446797921,10,15
1446798458,468,388
1446799001,13,6
