DateTime,Entries,UniqueIPs
1446793811,18704,18704
1446795846,18736,18736
1446797648,18835,18835
1446798486,18865,18865
1446800167,18963,18963
1446801248,19058,19058
1446802087,19074,19074
1446803887,19190,19190
1446805688,19238,19238
1446806530,19257,19257
1446808326,19408,19408
1446810131,19473,19473
1446812047,19504,19504
1446812891,19487,19487
1446814689,19433,19433
1446816488,19425,19425
1446817329,19422,19422
1446819126,19440,19440
1446823688,19375,19375
1446825487,19330,19330
1446827287,19357,19357
1446829088,19387,19387
1446830887,19410,19410
1446833526,19430,19430
1446835329,19417,19417
1446837247,19407,19407
1446838089,19399,19399
1446838929,19382,19382
1446840848,19373,19373
1446841687,19333,19333
1446843486,19311,19311
1446845292,19197,19197
1446846130,19089,19089
1446847927,19081,19081
1446849729,19073,19073
1446851650,19080,19080
1446852489,19070,19070
1446854287,19036,19036
1446857287,19031,19031
1446858849,19026,19026
1446859688,19006,19006
1446862447,18994,18994
1446863290,18982,18982
1446864972,18969,18969
1446866892,18939,18939
1446867729,18914,18914
1446869649,18882,18882
1446871328,18858,18858
1446873249,18846,18846
1446874214,18801,18801
1446875887,18765,18765
1446877692,18655,18655
1446878528,18559,18559
1446880327,18487,18487
1446882128,18316,18316
1446884048,18280,18280
1446884890,18190,18190
1446886687,18069,18069
1446888488,18030,18030
1446889328,17969,17969
1446891128,17923,17923
1446892927,17867,17867
1446894847,17865,17865
1446895690,17808,17808
1446897489,17776,17776
1446899287,17763,17763
1446900128,17734,17734
1446901808,17741,17741
1446903728,17619,17619
1446904690,17571,17571
1446906487,17550,17550
1446908290,17474,17474
1446910088,17429,17429
1446911773,17391,17391
1446912607,17360,17360
1446913687,17333,17333
1446914531,17293,17293
1446916447,17235,17235
1446917288,17198,17198
1446918129,17162,17162
1446919087,17120,17120
1446920891,17080,17080
1446921730,17039,17039
1446922575,17023,17023
1446923409,17015,17015
1446923647,17020,17020
1446924488,16978,16978
1446925330,16940,16940
1446926410,16904,16904
1446928092,16894,16894
1446928932,16854,16854
1446930847,16843,16843
1446932529,16797,16797
1446933487,16759,16759
1446934448,16776,16776
1446935291,16758,16758
1446936972,16730,16730
1446937807,16719,16719
1446938047,16723,16723
1446938887,16699,16699
1446939854,16678,16678
1446940571,16681,16681
1446942487,16666,16666
1446946086,16627,16627
1446947773,16618,16618
1446948611,16592,16592
1446948850,16595,16595
1446949820,16553,16553
1446950527,16545,16545
1446952213,16511,16511
1446952448,16515,16515
1446953287,16491,16491
1446954971,16442,16442
1446956887,16410,16410
1446958578,16369,16369
1446959406,16352,16352
1446959648,16357,16357
1446960489,16344,16344
1446961333,16309,16309
1446963249,16294,16294
1446964087,16243,16243
1446965772,16215,16215
1446967688,16113,16113
1446968528,16038,16038
1446969372,16018,16018
1446970208,15989,15989
1446970447,15998,15998
1446971286,15896,15896
1446973088,15724,15724
1446973928,15730,15730
1446974886,15707,15707
1446975728,15664,15664
1446977649,15550,15550
1446979327,15434,15434
1446980175,15409,15409
1446982094,15390,15390
1446983769,15387,15387
1446984607,15395,15395
1446984848,15404,15404
1446985688,15398,15398
1446986528,15381,15381
1446988207,15388,15388
1446988447,15395,15395
1446989288,15378,15378
1446990130,15378,15378
1446991808,15381,15381
1446992050,15385,15385
1446993020,15377,15377
1446993727,15386,15386
1446994573,15392,15392
1446996490,15345,15345
1446998173,15310,15310
1446999008,15270,15270
1446999246,15276,15276
1447000087,15259,15259
1447001777,15237,15237
1447002608,15221,15221
1447002849,15226,15226
1447003689,15186,15186
1447004530,15152,15152
1447006447,15168,15168
1447007289,15159,15159
1447008129,15150,15150
1447008975,15167,15167
1447010887,15157,15157
1447011729,15162,15162
1447012572,15169,15169
1447013408,15172,15172
1447013648,15178,15178
1447014617,15175,15175
1447015330,15176,15176
1447016173,15180,15180
1447017249,15185,15185
1447018930,15186,15186
1447019772,15203,15203
1447020847,15215,15215
1447021818,15203,15203
1447022530,15204,15204
1447024207,15199,15199
1447024448,15203,15203
1447025294,15190,15190
1447026968,15195,15195
1447027809,15191,15191
1447028893,15187,15187
1447029780,15187,15187
1447030678,15193,15193
1447031889,15186,15186
1447032749,15191,15191
1447035251,15208,15208
1447036962,15217,15217
1447037777,15217,15217
1447039687,15210,15210
1447041368,15214,15214
1447044971,15224,15224
1447045217,15206,15206
1447048567,15247,15247
1447049406,15253,15253
1447049646,15258,15258
1447050492,15247,15247
1447051338,15247,15247
1447053010,15219,15219
1447053247,15226,15226
1447054220,15214,15214
1447054933,15221,15221
1447055773,15216,15216
1447056848,15221,15221
1447058530,15207,15207
1447059368,15229,15229
1447061287,15244,15244
1447062974,15235,15235
1447063807,15241,15241
1447064047,15243,15243
1447064993,15245,15245
1447065727,15247,15247
1447067648,15264,15264
1447068489,15279,15279
1447070172,15307,15307
1447071251,15320,15320
1447072927,15343,15343
1447073773,15369,15369
1447075687,15394,15394
1447076529,15395,15395
1447077369,15412,15412
1447078210,15406,15406
1447078448,15415,15415
1447080967,15413,15413
1447082047,15414,15414
1447083730,15388,15388
1447084568,15405,15405
1447086488,15418,15418
1447087330,15410,15410
1447089248,15437,15437
1447090087,15436,15436
1447092847,15484,15484
1447093691,15478,15478
1447094533,15490,15490
1447095377,15511,15511
1447096207,15519,15519
1447096448,15530,15530
1447097290,15535,15535
1447098986,15547,15547
1447100048,15551,15551
1447101733,15533,15533
1447102688,15535,15535
1447104487,15537,15537
1447105327,15527,15527
1447106287,15519,15519
1447107100,15537,15537
1447107248,15539,15539
1447108087,15526,15526
1447108934,15514,15514
1447110852,15533,15533
1447111691,15516,15516
1447112539,15501,15501
1447113493,15491,15491
1447114326,15498,15498
1447115288,15470,15470
1447116127,15463,15463
1447118048,15467,15467
1447118894,15453,15453
1447120689,15436,15436
1447121647,15445,15445
1447122488,15437,15437
1447124292,15436,15436
1447125248,15451,15451
1447126092,15437,15437
1447128606,15444,15444
1447128847,15449,15449
1447129687,15433,15433
1447130533,15425,15425
1447132207,15411,15411
1447132450,15416,15416
1447133288,15410,15410
1447134967,15422,15422
1447136891,15391,15391
1447138575,15391,15391
1447139405,15377,15377
1447139650,15384,15384
1447140488,15359,15359
1447141337,15352,15352
1447143249,15345,15345
1447144088,15315,15315
1447144929,15291,15291
1447145775,15297,15297
1447146846,15297,15297
1447147687,15277,15277
1447148528,15279,15279
1447149489,15277,15277
1447150330,15288,15288
1447151292,15281,15281
1447152129,15282,15282
1447152940,15282,15282
1447154050,15299,15299
1447155728,15263,15263
1447156686,15258,15258
1447158489,15265,15265
1447159330,15273,15273
1447160152,15288,15288
1447161009,15291,15291
1447161248,15300,15300
1447162071,15292,15292
1447162931,15292,15292
1447164847,15335,15335
1447165689,15335,15335
1447167369,15350,15350
1447168545,15321,15321
1447171088,15326,15326
1447172888,15323,15323
1447173729,15329,15329
1447174606,15343,15343
1447175409,15343,15343
