DateTime,Entries,UniqueIPs
1443506785,43751,44915
1443513988,43136,44272
1443521196,42380,43502
1443524800,41907,43026
1443528391,41403,42517
1443531962,41122,42229
1443535581,40788,41894
1443539184,40338,41439
1443542781,39881,40971
1443550002,39033,40118
1443553587,38752,39827
1443560797,38262,39336
1443564412,38124,39196
1443571585,38015,39075
1443575257,37935,38991
1443578860,37880,38926
1443582437,37788,38833
1443589582,37547,38590
1443593189,37468,38511
1443600375,37258,38316
1443607583,36484,37531
1443611181,36019,37061
1443618378,35192,36226
1443625593,34221,35246
1443629187,33840,34867
1443632768,33235,34253
1443643656,32295,33278
1443647203,32058,33037
1443650793,31818,32791
1443654380,31649,32624
1443665310,21165,21992
1443675977,21170,21999
1443686787,21224,22063
1443690382,21250,22090
1443697573,21248,22087
1443701171,21244,22085
1443711983,21231,22072
1443715582,21230,22070
1443722780,21244,22085
1443726377,21259,22108
1443729972,21262,22111
1443733567,21266,22114
1443737180,21289,22141
1443747993,21320,22183
1443758785,21347,22210
1443762364,21354,22218
1443780372,21472,22339
1443783971,21473,22340
1443791186,21464,22330
1443823588,22335,23218
1443838059,22348,23240
1443841687,22359,23251
1443845266,22367,23261
1443848777,22385,23279
1443852363,22388,23282
1443859562,22455,23351
1443870394,22501,23411
1443873973,22520,23431
1443881182,22528,23441
1443899193,22505,23426
1443902762,22501,23421
1443917185,22501,23419
1443924491,22490,23409
1443938769,22471,23389
1443942369,22473,23391
1443953207,22527,23449
1443960396,22557,23475
1443963992,22561,23478
1443985581,22602,23515
1443989168,22627,23545
1443992777,22629,23548
1443999990,22605,23524
1444017978,22608,23526
1444021579,22616,23534
1444028769,22620,23539
1444032379,22619,23540
1444039589,22655,23583
1444046781,22661,23596
1444050363,22648,23582
1444057582,22621,23557
1444061197,22655,23595
1444082780,22674,23616
1444089974,22698,23640
1444097309,22740,23683
1444104384,22786,23729
1444107982,22799,23742
1444111564,22826,23769
1444115179,22839,23782
1444122380,22932,23883
1444125982,22957,23910
1444129562,22992,23948
1444133166,23004,23960
1444140381,22983,23932
1444143965,22929,23874
1444154787,22973,23924
1444165587,22998,23949
1444169180,22998,23949
1444172785,22996,23951
1444197989,23073,24029
1444201566,23090,24047
1444205163,23100,24057
1444208770,23134,24098
1444219598,23118,24078
1444223187,23111,24064
1444244793,23114,24066
1444248361,23136,24088
1444259182,23146,24098
1444262783,23157,24106
1444270116,23182,24133
1444273745,23195,24147
1444287976,23232,24189
1444291566,23217,24170
1444298792,23307,24261
1444302385,23396,24349
1444316780,23380,24339
1444320377,23378,24338
1444323980,23374,24336
1444327582,23528,24521
1444331188,23533,24527
1444338383,23555,24551
1444345589,23505,24501
1444352790,23542,24538
1444356523,23537,24532
1444360078,23544,24537
1444363578,23545,24537
1444367172,23547,24539
1444370771,23556,24550
1444374378,23573,24567
1444388782,23662,24657
1444399582,23700,24702
1444410387,23728,24739
1444417587,23752,24769
1444421167,23749,24766
1444442925,23799,24782
1444446510,23815,24799
1444450188,23835,24819
1444453581,23851,24835
1444457176,23869,24860
1444464388,23908,24899
1444471582,24013,25010
1444475225,24069,25066
1444482389,24140,25138
1444496812,24139,25134
1444507591,24116,25103
1444514780,24156,25143
1444518381,24158,25147
1444525578,24176,25167
1444543579,24233,25224
1444547179,24241,25232
1444561587,24296,25290
1444568774,24313,25305
1444572380,24335,25326
1444579591,24411,25408
1444586774,24388,25386
1444590376,24386,25383
1444604780,24412,25414
1444619331,24402,25402
1444622765,24401,25402
1444629964,24447,25448
1444640777,24519,25513
1444644380,24556,25549
1444651585,24693,25692
1444655184,24750,25752
1444658786,25094,26096
1444665986,25235,26236
1444673200,25342,26341
1444691187,25797,26793
1444698395,25819,26817
1444709181,25920,26920
1444727189,25947,26934
1444741587,26107,27092
1444745177,26146,27131
1444752427,26232,27220
1444756000,26277,27269
1444759583,26286,27265
1444766799,26338,27321
1444770377,26361,27350
1444773973,26411,27402
1444777583,26419,27409
1444802784,26510,27492
1444806269,26561,27544
1444809989,26582,27567
1444817180,26634,27616
1444824399,26641,27630
1444842400,26773,27771
1444845979,26806,27810
1444856790,26821,27832
1444860372,26815,27831
1444889184,26915,27935
1444892777,26926,27945
1444899980,26936,27952
1444903577,26946,27963
1444907181,26973,27989
1444910771,27028,28048
1444914386,27061,28085
1444932426,27070,28096
1444939581,27054,28079
1444950385,27098,28134
1444953960,27100,28137
1444961213,27043,28077
1444964874,27045,28079
1444975583,27050,28084
1444979171,27051,28083
1444986382,27014,28038
1444989983,27032,28059
1445000784,27038,28061
1445004374,27060,28088
1445007981,27100,28129
1445015191,27226,28257
1445022406,27143,28155
1445029623,27119,28129
1445036795,27098,28106
1445040369,27102,28109
1445044048,27100,28113
1445047796,27100,28113
1445051269,27105,28119
1445058467,27105,28117
1445061982,27109,28120
1445072782,27135,28142
1445076374,27160,28167
1445083614,27184,28188
1445094382,27284,28279
1445098047,27330,28326
1445101581,27600,28596
1445105186,27900,28897
1445112489,28136,29136
1445116175,28227,29227
1445119711,28278,29278
1445123312,28370,29370
1445126928,28431,29431
1445130480,28582,29583
1445134315,28857,29858
1445137663,29032,30033
1445141364,29300,30303
1445144913,29542,30544
1445148541,29749,30752
1445152122,29865,30866
1445155579,29884,30875
1445159197,30050,31044
1445162979,30222,31217
1445166455,30433,31427
1445170112,30487,31485
1445173641,30487,31484
1445180813,30738,31730
1445187988,31004,31992
1445195186,31251,32238
1445213184,31511,32497
1445216927,31541,32524
1445220569,31690,32673
1445224104,31888,32871
1445245581,32944,33932
1445249178,33095,34085
1445252787,33334,34327
1445278025,34832,35843
1445288825,35022,36043
1445292401,35089,36107
1445314180,35684,36703
1445321203,35813,36833
1445332006,36584,37605
1445335581,36793,37814
1445342808,37064,38088
1445346399,37196,38220
1445353582,37863,38892
1445357183,38025,39058
1445360781,38253,39295
1445364408,38412,39458
1445371599,38531,39578
1445375209,38550,39595
1445378786,38618,39662
1445382386,38683,39724
1445385982,38792,39833
1445389690,38936,39974
1445400636,39353,40393
1445404068,39344,40384
1445418387,39430,40468
1445421984,39368,40406
1445439983,39113,40141
1445443564,41508,42567
1445450840,41401,42458
1445461588,42544,43628
1445465191,42622,43706
1445468778,42670,43759
1445479585,43068,44163
1445490386,43336,44431
1445501187,43287,44381
1445504765,43241,44334
1445540801,42876,43944
1445544369,42856,43924
1445547973,42819,43884
1445551717,44241,45333
1445565988,44697,45795
1445576788,45083,46184
1445580380,45258,46362
1445587581,45677,46785
1445598402,46076,47193
1445605589,46434,47544
1445619985,46952,48054
1445623718,47036,48143
1445627223,47141,48249
1445634458,47284,48392
1445638039,47349,48459
1445645194,47484,48595
1445652427,47603,48718
1445655987,47680,48795
1445659593,47799,48916
1445666781,48086,49195
1445673983,48379,49495
1445677583,48477,49588
1445688435,48821,49939
1445699338,49243,50367
1445717549,49719,50852
1445728213,49883,51016
1445731631,49940,51072
1445735268,49972,51103
1445749586,50543,51677
1445756784,50716,51852
1445760409,50856,51994
1445763999,50940,52077
1445767594,51116,52255
1445778457,51485,52625
1445789200,51755,52890
1445796408,51982,53121
1445800189,52021,53161
1445810784,52126,53258
1445817987,52072,53203
1445825227,52310,53442
1445853993,53547,54706
1445857589,53657,54816
1445861181,54037,55214
1445875722,54508,55697
1445879231,54515,55707
1445890095,54773,55967
1445904386,55104,56322
1445907988,55211,56432
1445911670,55372,56593
1445915182,55484,56706
1445918787,55611,56834
1445922494,55693,56916
1445926100,55918,57144
1445929583,56062,57288
1445933185,56175,57401
1445936782,56262,57489
1445940386,56422,57652
1445943984,56611,57845
1445947584,56720,57959
1445958384,57052,58294
1445961983,57164,58406
1445965584,57280,58526
1445972868,57451,58698
1445976553,57519,58770
1445980072,57573,58817
1445983802,57576,58803
1445987351,57641,58855
1445990785,57748,58965
1446001590,58077,59295
1446008788,58276,59497
1446012386,58361,59539
1446016028,58526,59706
1446019648,58645,59825
1446026797,58892,60078
1446030389,59021,60206
1446041196,59382,60582
1446048587,59523,60726
1446052166,59543,60751
1446056063,59530,60737
1446066387,59722,60958
1446070037,59744,60987
1446077182,59819,61065
1446080782,59883,61130
1446084389,59999,61245
1446095185,60278,61527
1446098784,60346,61594
1446102382,60370,61616
1446113183,60321,61570
1446116782,60361,61611
1446123991,60440,61689
1446134785,60777,62031
1446138382,60830,62087
1446149212,60894,62155
1446152817,60879,62143
1446160000,60937,62203
1446170849,61193,62467
1446174458,61325,62601
1446177980,61421,62697
1446185210,61603,62880
1446188786,61682,62960
1446203189,61990,63279
1446228390,62655,63956
1446235588,62738,64040
1446239187,62772,64071
1446243101,62832,64139
1446249997,62934,64243
1446253591,63635,64973
1446260926,63797,65136
1446264433,63895,65235
1446275187,63980,65324
1446278791,64013,65354
1446286013,64089,65430
1446289600,64134,65481
1446296789,64146,65493
1446300381,64250,65599
1446304043,64407,65754
1446307651,64545,65899
1446311293,64626,65984
1446314898,64728,66089
1446318388,64712,66072
1446329190,64690,66044
1446332805,64685,66040
1446339987,64689,66040
1446343599,64692,66043
1446354387,64705,66057
1446357985,64825,66180
1446361585,64958,66313
1446368785,65208,66566
1446372526,65359,66729
1446379621,65498,66864
1446386786,65768,67130
1446393988,65811,67173
1446401187,65830,67193
1446422787,66042,67396
1446426387,66099,67453
1446444389,66578,67940
1446462382,66679,68045
1446487592,67288,68670
1446494792,67407,68791
1446498378,66768,68138
1446512796,66879,68244
1446516366,66919,68282
1446527180,67016,68380
1446534386,67117,68488
1446537984,67154,68520
1446541580,67223,68591
1446545186,67323,68695
1446563187,67844,69230
1446570386,68003,69393
1446574048,68033,69420
1446581184,68063,69453
1446585088,68072,69461
1446591983,68121,69518
1446599180,68157,69555
1446602773,68177,69575
1446606382,68193,69592
1446609976,68230,69629
1446613583,68269,69668
1446617188,68372,69774
1446631585,68887,70310
1446638790,69074,70498
1446642392,69157,70582
1446649590,69353,70783
1446653247,69430,70859
1446671296,69551,70995
1446674849,69581,71029
1446678385,69614,71064
1446681987,69683,71134
1446689188,69884,71340
1446696386,70171,71632
1446699983,70271,71733
1446710789,70523,71986
1446718007,70837,72308
1446721581,71090,72563
1446725188,72058,73543
1446735990,72786,74270
1446739619,73061,74547
1446750383,73161,74634
1446753997,73193,74666
1446761223,73472,74946
1446764819,73601,75088
1446782789,74037,75530
1446789987,74255,75751
1446793585,74327,75823
1446800776,74513,76019
1446807980,74628,76132
1446811594,74745,76246
1446826007,75182,76694
1446837081,75598,77110
1446840381,75622,77135
1446843979,75649,77160
1446847609,75686,77202
1446865655,76080,77605
1446872784,76222,77744
1446887213,76500,78028
1446894383,76731,78264
1446897979,76875,78412
1446905182,77189,78730
1446908781,77299,78841
1446912383,77413,78959
1446919636,77626,79193
1446926840,77697,79269
1446930361,77708,79281
1446937574,77765,79339
1446941178,77819,79392
1446944778,77860,79433
1446948378,77925,79500
1446955578,78113,79690
1446969981,78164,79740
1446980787,78351,79933
1446984380,78393,79975
1447013237,78655,80255
1447020752,78732,80332
1447027610,78788,80387
