DateTime,AddedIPs,RemovedIPs
1447368060,768,0
1447369561,256,1280
1447370769,0,768
1447371659,1280,0
1447372557,0,768
1447373473,1792,0
1447375260,1280,1280
1447377082,1536,1024
1447378541,1792,1280
1447381584,1536,2816
1447382469,768,0
1447384634,1792,1280
1447386068,1536,1024
1447387875,1024,1536
1447388833,0,768
1447389684,1536,0
1447391470,1280,512
1447392380,0,1792
1447393259,1024,0
1447395424,2560,768
1447395994,0,1280
1447396865,512,0
1447398664,512,1024
1447400471,1280,1792
1447402270,1280,1536
1447404086,1536,1792
1447404975,0,1024
1447406211,768,0
1447406790,0,1280
1447407684,1792,0
1447409474,1280,1280
1447410394,0,768
1447411270,1536,0
1447413444,768,0
1447413977,256,1024
1447414862,2304,0
1447416698,1536,768
1447418463,1280,1280
1447420642,1536,2048
1447421185,256,0
1447422060,1792,2304
1447424790,2048,4096
1447425663,1024,0
1447427469,768,1792
1447429268,1024,512
1447431456,2816,1280
1447431973,0,1280
1447432864,1792,0
1447435025,2816,1536
1447436463,1792,0
1447438648,1792,1280
1447440064,1536,0
1447441000,0,768
1447442204,1536,0
1447443663,1280,768
1447444559,0,1280
1447445823,2048,0
1447447267,1792,1536
1447448158,0,1536
1447449073,1280,0
1447450883,2816,0
1447453588,1536,1024
1447454493,2560,1280
1447455369,0,1280
1447456635,1536,0
1447457179,0,256
1447458067,1792,0
1447460213,2816,1280
1447460778,0,1536
1447461667,1792,0
1447464380,1024,3072
1447465271,2048,0
1447466158,0,2304
1447467442,1792,0
1447467968,0,2048
1447468868,2560,0
1447469781,0,768
1447471030,1792,0
1447471575,256,0
1447472467,1280,2048
1447473365,0,1280
1447474281,2560,0
1447475755,1024,768
1447476970,0,1024
1447477909,1024,2048
1447479691,1536,0
1447482376,1024,1024
1447482907,1024,2048
1447485088,512,1024
1447486009,0,768
1447486872,768,0
1447489594,768,2560
1447490464,1024,0
1447492610,2304,1280
1447493195,0,1792
1447494061,768,0
1447495207,1280,0
1447495864,0,768
1447497663,1792,1536
1447498565,0,1536
1447499461,1536,0
1447500371,0,256
1447501259,768,1024
1447504008,2048,2048
1447504867,1536,2560
1447507031,1024,1536
1447508463,1536,1792
1447509357,0,1280
1447510264,1280,0
1447512115,1536,1792
1447514209,1536,1024
1447516558,1792,3072
1447518380,1792,0
1447519264,768,2816
1447521431,2560,2560
1447521975,0,2560
1447522866,1024,0
1447523755,0,1280
1447524708,1536,0
1447526459,1024,1792
1447528593,1024,1536
1447529184,0,768
1447530067,2048,0
1447532280,1280,4352
1447533662,1536,0
1447535476,2560,2560
1447537259,1792,1280
1447538162,0,2304
1447539064,1792,0
1447540871,768,1536
1447543580,1792,2304
1447544466,2048,1280
1447546633,2048,2048
1447547193,0,2304
1447548083,2560,0
1447548961,0,1792
1447549871,1792,0
1447551682,2304,2304
1447553824,1536,1792
1447554386,0,1536
1447555272,1536,0
1447557427,2304,1280
1447557992,0,1536
1447558874,1280,0
1447560685,1536,768
1447561157,0,2816
1447562468,1024,0
1447564266,1792,768
1447566061,1280,2048
1447566963,0,1024
1447567865,2304,0
1447569661,512,1280
1447570570,0,768
1447571471,1024,0
1447573275,768,256
1447574158,0,512
1447575072,2048,0
1447576901,1024,1280
1447578671,768,512
1447580464,768,1792
1447581360,0,1024
1447582658,1792,0
1447583196,0,1280
1447585868,768,1024
1447586772,0,1280
1447587732,1280,0
1447588757,0,768
1447589810,1792,0
1447591364,1536,1536
1447593084,1536,1792
1447593994,256,0
1447594863,2560,1536
1447597592,2560,1280
1447598465,1280,1536
1447602081,1280,2304
1447604222,1792,2304
1447605667,2560,1792
1447606555,0,1024
1447608379,1536,0
1447609258,1280,2048
1447611064,1792,1280
1447611990,0,2304
1447612882,1024,0
1447615072,768,1280
1447615584,0,1536
1447616465,1024,0
1447618620,2304,1792
1447620066,1024,2048
1447621869,1024,1792
1447622791,0,3072
1447623666,1536,0
1447624554,0,1536
1447625513,2560,0
1447627255,2304,1792
1447628158,0,512
1447629396,1536,0
1447630862,2304,1536
1447633036,2304,2048
1447634464,1280,2048
1447636589,1792,1536
1447637189,0,1792
1447638065,2304,0
1447638960,0,1536
1447639868,768,0
1447641659,1024,1280
1447643797,512,1280
